model_type,fusion_type,alpha,expert_id,model_architecture,test_type,attack_type,corruption_type,severity_level,epsilon,accuracy,loss,correct_predictions,total_predictions,timestamp
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,brightness,4,N/A,52.48,1.679459101037134,5248,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,brightness,5,N/A,50.87,1.7361256095427502,5087,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,contrast,1,N/A,55.09,1.57612829419631,5509,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,contrast,2,N/A,54.63,1.5880719755269304,5463,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,contrast,3,N/A,54.3,1.609367986268635,5430,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,contrast,4,N/A,53.49,1.636378505561925,5349,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,contrast,5,N/A,53.23,1.6661403963837442,5323,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,elastic_transform,1,N/A,13.24,4.358479898187179,1324,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,elastic_transform,2,N/A,3.86,6.618158292166794,386,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,elastic_transform,3,N/A,2.64,7.245470807522158,264,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,elastic_transform,4,N/A,2.19,7.350141935710665,219,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,elastic_transform,5,N/A,1.95,7.326564366304422,195,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,pixelate,1,N/A,4.0,7.611372881297823,400,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,pixelate,2,N/A,3.16,7.200801686395573,316,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,pixelate,3,N/A,1.78,8.25288760511181,178,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,pixelate,4,N/A,1.66,7.653282129311863,166,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,pixelate,5,N/A,1.7,6.759176882007454,170,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,1,N/A,6.2,5.221176162550721,620,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,2,N/A,12.33,4.2824058593073975,1233,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,3,N/A,17.23,3.760193912288811,1723,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,4,N/A,29.49,2.8227944253366206,2949,10000,2025-09-09 00:30:43
expert_1,multiplicativeShifted,1.0,1,DenseNet121,corruption,N/A,jpeg_compression,5,N/A,45.43,1.9617474003683162,4543,10000,2025-09-09 00:30:43
expert_2,multiplicativeShifted,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,1,N/A,34.8,2.5836585805385925,3480,10000,2025-09-09 01:31:42
expert_2,multiplicativeShifted,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,2,N/A,21.57,3.437827040877523,2157,10000,2025-09-09 01:31:42
expert_2,multiplicativeShifted,1.0,2,DenseNet121,corruption,N/A,gaussian_noise,3,N/A,12.6,4.243651719032964,1260,10000,2025-09-09 01:31:42
